
2019-02-04 14:31:44 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'zohooauth'
2019-02-04 14:31:44 SEVERE: Deleting  oauthtokens failed: () 
2019-02-04 14:31:44 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'zohooauth'
2019-02-04 14:31:44 SEVERE: OAuth token insertion failed: () 
2019-02-04 14:38:26 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'zohooauth'
2019-02-04 14:38:26 SEVERE: Deleting  oauthtokens failed: () 
2019-02-04 14:38:26 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'zohooauth'
2019-02-04 14:38:26 SEVERE: OAuth token insertion failed: () 
2019-02-04 14:41:14 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'HAHAzohooauth'
2019-02-04 14:41:14 SEVERE: Deleting  oauthtokens failed: () 
2019-02-04 14:41:14 SEVERE: Failed to connect to MySQL: (1044) Access denied for user 'sodcorg'@'localhost' to database 'HAHAzohooauth'
2019-02-04 14:41:14 SEVERE: OAuth token insertion failed: () 
2019-02-04 14:58:49 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:09:58 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:11:55 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:12:51 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:13:22 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:15:50 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:21:52 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:22:17 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:22:52 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:43:41 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:44:28 INFO: Access Token has expired. Hence refreshing.
2019-02-04 15:50:03 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:10:30 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:17:42 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:23:25 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:23:53 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:25:12 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:30:05 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:30:43 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:32:45 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:34:21 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:36:44 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:38:40 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:40:34 INFO: Access Token has expired. Hence refreshing.
2019-02-04 16:41:21 INFO: Access Token has expired. Hence refreshing.
2019-02-05 07:58:35 INFO: Access Token has expired. Hence refreshing.
2019-02-05 08:04:52 INFO: Access Token has expired. Hence refreshing.
2019-02-05 08:12:48 INFO: Access Token has expired. Hence refreshing.
2019-02-05 08:25:54 INFO: Access Token has expired. Hence refreshing.
2019-02-05 08:26:12 INFO: Access Token has expired. Hence refreshing.
